divisions,rebalancePeriod,safe_buy,safe_sell,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2023,ret2024,ret1yr,avg,min,mdd2023,mdd2024,mdd1yr,sl2023,sl2024,sl1yr
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.2,45,-23.74,-3.07,13.10,-4.57,-23.74,60.91,58.57,58.22,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.2,60,-23.74,-3.07,13.10,-4.57,-23.74,60.91,58.57,58.22,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.2,90,-23.74,-3.07,13.10,-4.57,-23.74,60.91,58.57,58.22,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.2,120,-23.74,-3.07,13.10,-4.57,-23.74,60.91,58.57,58.22,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.25,30,-23.74,-4.71,16.30,-4.05,-23.74,60.91,58.30,58.26,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.25,45,-23.74,-3.07,16.30,-3.50,-23.74,60.91,58.57,58.26,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.25,60,-23.74,-3.07,16.30,-3.50,-23.74,60.91,58.57,58.26,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.25,90,-23.74,-3.07,16.30,-3.50,-23.74,60.91,58.57,58.26,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.25,120,-23.74,-3.07,16.30,-3.50,-23.74,60.91,58.57,58.26,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.3,30,-23.74,-4.71,12.85,-5.20,-23.74,60.91,58.30,57.77,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.3,45,-23.74,-3.07,12.85,-4.65,-23.74,60.91,58.57,57.77,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.3,60,-23.74,-3.07,12.85,-4.65,-23.74,60.91,58.57,57.77,10,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.03,0.3,90,-23.74,-3.07,12.85,-4.65,-23.74,60.91,58.57,57.77,10,8,6
