divisions,rebalancePeriod,safe_buy,safe_sell,safe_hold,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2011,ret2012,ret2018,ret2022,ret2024,avg,min,mdd2011,mdd2012,mdd2018,mdd2022,mdd2024,sl2011,sl2012,sl2018,sl2022,sl2024
5,5,-0.02,0.008,20,-0.05,0.1,-0.01,0.1,45,-29.70,-35.54,-24.89,-53.80,-3.87,-29.56,-53.80,67.53,68.53,66.60,74.04,58.34,16,25,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.01,0.12,45,-29.70,-35.54,-24.89,-53.80,-3.49,-29.48,-53.80,67.53,68.53,66.60,74.04,58.37,16,25,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.01,0.15,45,-29.70,-35.54,-24.89,-53.80,-2.93,-29.37,-53.80,67.53,68.53,66.60,74.04,58.45,16,25,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.02,0.08,45,-29.70,-16.91,-24.89,-53.80,-4.37,-25.93,-53.80,67.53,57.76,66.60,74.04,58.48,16,20,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.02,0.1,45,-29.70,-19.80,-24.89,-53.80,-4.02,-26.44,-53.80,67.53,59.22,66.60,74.04,58.39,16,21,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.02,0.12,45,-29.70,-19.80,-24.89,-53.80,-3.63,-26.36,-53.80,67.53,59.22,66.60,74.04,58.42,16,21,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.02,0.15,45,-29.70,-19.80,-24.89,-53.80,-3.08,-26.25,-53.80,67.53,59.22,66.60,74.04,58.34,16,21,17,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.03,0.08,45,-29.70,-16.91,-19.31,-53.80,-4.37,-24.82,-53.80,67.53,57.76,65.73,74.04,58.48,16,20,16,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.03,0.1,45,-29.70,-19.80,-19.31,-53.80,-4.02,-25.32,-53.80,67.53,59.22,65.73,74.04,58.39,16,21,16,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.03,0.12,45,-29.70,-19.80,-19.31,-53.80,-3.63,-25.25,-53.80,67.53,59.22,65.73,74.04,58.42,16,21,16,21,7
5,5,-0.02,0.008,20,-0.05,0.1,-0.03,0.15,45,-29.70,-19.80,-19.31,-53.80,-3.08,-25.14,-53.80,67.53,59.22,65.73,74.04,58.34,16,21,16,21,7
5,5,-0.02,0.008,20,-0.05,0.12,-0.01,0.08,45,-29.61,-32.56,-24.59,-54.84,-6.49,-29.62,-54.84,67.16,67.56,66.60,74.26,58.47,17,24,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.01,0.1,45,-29.61,-34.57,-24.59,-54.84,-6.12,-29.95,-54.84,67.16,68.53,66.60,74.26,58.34,17,25,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.01,0.12,45,-29.61,-34.57,-24.59,-54.84,-5.74,-29.87,-54.84,67.16,68.53,66.60,74.26,58.37,17,25,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.01,0.15,45,-29.61,-34.57,-24.59,-54.84,-5.22,-29.77,-54.84,67.16,68.53,66.60,74.26,58.45,17,25,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.02,0.08,45,-29.61,-15.67,-24.59,-54.84,-6.63,-26.27,-54.84,67.16,57.28,66.60,74.26,58.48,17,20,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.02,0.1,45,-29.61,-18.59,-24.59,-54.84,-6.27,-26.78,-54.84,67.16,58.76,66.60,74.26,58.39,17,21,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.02,0.12,45,-29.61,-18.59,-24.59,-54.84,-5.88,-26.70,-54.84,67.16,58.76,66.60,74.26,58.42,17,21,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.02,0.15,45,-29.61,-18.59,-24.59,-54.84,-5.37,-26.60,-54.84,67.16,58.76,66.60,74.26,58.34,17,21,17,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.03,0.08,45,-29.61,-15.67,-18.99,-54.84,-6.63,-25.15,-54.84,67.16,57.28,65.73,74.26,58.48,17,20,16,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.03,0.1,45,-29.61,-18.59,-18.99,-54.84,-6.27,-25.66,-54.84,67.16,58.76,65.73,74.26,58.39,17,21,16,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.03,0.12,45,-29.61,-18.59,-18.99,-54.84,-5.88,-25.58,-54.84,67.16,58.76,65.73,74.26,58.42,17,21,16,22,8
5,5,-0.02,0.008,20,-0.05,0.12,-0.03,0.15,45,-29.61,-18.59,-18.99,-54.84,-5.37,-25.48,-54.84,67.16,58.76,65.73,74.26,58.34,17,21,16,22,8
5,5,-0.02,0.008,20,-0.07,0.05,-0.01,0.08,45,-32.37,-35.04,-25.82,-53.75,-1.82,-29.76,-53.75,65.74,65.88,66.66,73.39,58.47,13,19,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.01,0.1,45,-32.37,-36.98,-25.82,-53.75,-1.42,-30.07,-53.75,65.74,66.84,66.66,73.39,58.34,13,20,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.01,0.12,45,-32.37,-36.98,-25.82,-53.75,-1.04,-29.99,-53.75,65.74,66.84,66.66,73.39,58.37,13,20,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.01,0.15,45,-32.37,-36.98,-25.82,-53.75,-0.45,-29.88,-53.75,65.74,66.84,66.66,73.39,58.45,13,20,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.02,0.08,45,-32.37,-18.80,-25.82,-53.75,-1.97,-26.54,-53.75,65.74,57.46,66.66,73.39,58.48,13,15,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.02,0.1,45,-32.37,-21.62,-25.82,-53.75,-1.56,-27.02,-53.75,65.74,58.41,66.66,73.39,58.39,13,16,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.02,0.12,45,-32.37,-21.62,-25.82,-53.75,-1.19,-26.95,-53.75,65.74,58.41,66.66,73.39,58.42,13,16,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.02,0.15,45,-32.37,-21.62,-25.82,-53.75,-0.61,-26.83,-53.75,65.74,58.41,66.66,73.39,58.34,13,16,16,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.03,0.08,45,-32.37,-18.80,-20.33,-53.75,-1.97,-25.44,-53.75,65.74,57.46,65.81,73.39,58.48,13,15,15,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.03,0.1,45,-32.37,-21.62,-20.33,-53.75,-1.56,-25.93,-53.75,65.74,58.41,65.81,73.39,58.39,13,16,15,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.03,0.12,45,-32.37,-21.62,-20.33,-53.75,-1.19,-25.85,-53.75,65.74,58.41,65.81,73.39,58.42,13,16,15,20,5
5,5,-0.02,0.008,20,-0.07,0.05,-0.03,0.15,45,-32.37,-21.62,-20.33,-53.75,-0.61,-25.73,-53.75,65.74,58.41,65.81,73.39,58.34,13,16,15,20,5
